sku,fssai_id,license_type,expiry_date,coa_present,label_approved
SKU01984,FSSAI504375,None,2026-01-06,1,0
SKU00645,FSSAI199585,State,2025-01-12,0,1
SKU00961,FSSAI782248,State,2026-10-20,1,1
SKU00859,FSSAI145559,None,2026-03-17,1,1
SKU00217,FSSAI543014,None,2026-11-03,0,1
SKU01994,FSSAI892217,State,2025-03-26,1,1
SKU00194,FSSAI759711,None,2026-03-16,1,1
SKU00587,FSSAI858489,Central,2026-02-07,1,1
SKU01889,FSSAI488218,State,2026-05-08,1,1
SKU00079,FSSAI965622,State,2025-08-10,1,1
SKU01373,FSSAI710272,None,2026-05-22,1,1
SKU01351,FSSAI275162,State,2025-03-20,0,0
SKU01334,FSSAI106578,None,2026-06-04,1,1
SKU00314,FSSAI765640,None,2025-07-17,1,1
SKU01156,FSSAI664371,Central,2026-09-24,1,1
SKU00129,FSSAI648034,Central,2025-02-08,1,1
SKU01922,FSSAI205330,State,2025-02-18,1,1
SKU00590,FSSAI997896,State,2027-01-30,1,1
SKU00445,FSSAI785967,Central,2025-04-02,1,1
SKU00790,FSSAI952721,State,2025-07-11,1,0
SKU00589,FSSAI379341,State,2026-11-11,1,1
SKU00308,FSSAI359378,Central,2025-04-15,1,1
SKU01578,FSSAI907743,State,2025-01-08,1,1
SKU00547,FSSAI178706,Central,2026-08-09,0,1
SKU01452,FSSAI751343,State,2026-07-03,1,1
SKU01093,FSSAI233625,None,2025-05-18,0,1
SKU00487,FSSAI589778,State,2026-05-02,0,1
SKU00400,FSSAI736169,None,2027-01-17,1,0
SKU01365,FSSAI566191,State,2025-08-31,1,1
SKU01005,FSSAI529655,State,2026-03-10,1,1
SKU01941,FSSAI222451,State,2025-11-07,1,1
SKU00560,FSSAI583020,State,2027-01-21,1,1
SKU01026,FSSAI627609,Central,2025-03-28,1,1
SKU01218,FSSAI828543,State,2026-02-13,1,1
SKU01041,FSSAI216044,None,2027-02-24,1,1
SKU00360,FSSAI469458,Central,2026-04-16,1,1
SKU01595,FSSAI722246,State,2026-11-15,1,1
SKU00573,FSSAI539352,None,2026-04-28,1,0
SKU00764,FSSAI707707,State,2026-12-21,0,1
SKU01505,FSSAI994675,Central,2027-05-13,1,1
SKU01858,FSSAI659143,State,2026-05-15,1,1
SKU01009,FSSAI774498,State,2026-03-26,1,1
SKU00708,FSSAI358945,State,2025-01-24,1,1
SKU00171,FSSAI667298,State,2027-02-04,1,1
SKU00305,FSSAI826431,State,2026-11-15,1,1
SKU01189,FSSAI413428,State,2026-02-11,1,1
SKU01344,FSSAI466942,State,2025-12-07,1,1
SKU01701,FSSAI792837,State,2026-11-03,0,1
SKU01545,FSSAI621644,State,2026-01-03,1,1
SKU01705,FSSAI286851,State,2025-08-23,1,1
SKU01163,FSSAI870099,State,2026-05-20,1,1
SKU01956,FSSAI808372,State,2026-07-10,1,1
SKU00305,FSSAI117444,State,2027-01-01,1,1
SKU00443,FSSAI850980,State,2027-03-25,1,1
SKU00116,FSSAI961833,State,2025-10-29,1,1
SKU01116,FSSAI867436,Central,2025-12-16,1,1
SKU01283,FSSAI257994,None,2027-05-21,0,1
SKU01324,FSSAI835571,None,2025-08-28,0,1
SKU01362,FSSAI509772,Central,2027-05-01,1,1
SKU01213,FSSAI495177,State,2025-09-15,1,1
SKU00970,FSSAI486546,State,2025-09-08,1,1
SKU00529,FSSAI829736,Central,2025-10-16,0,1
SKU01224,FSSAI961903,State,2027-03-29,1,0
SKU01131,FSSAI518647,State,2026-05-22,1,1
SKU01611,FSSAI659799,State,2027-01-01,1,1
SKU00700,FSSAI503148,State,2026-09-04,1,1
SKU01463,FSSAI900817,State,2025-03-16,1,1
SKU00919,FSSAI279112,State,2026-12-13,1,0
SKU01608,FSSAI741346,None,2027-05-23,1,1
SKU01251,FSSAI471093,State,2025-02-04,1,1
SKU01290,FSSAI702665,State,2025-05-16,1,1
SKU01084,FSSAI969723,State,2025-10-17,1,1
SKU00345,FSSAI198776,State,2027-01-17,1,1
SKU00438,FSSAI245087,State,2025-06-20,1,1
SKU00377,FSSAI439395,State,2026-12-22,1,1
SKU00103,FSSAI569989,None,2025-12-12,1,1
SKU01295,FSSAI314056,State,2025-03-09,1,1
SKU00636,FSSAI423011,Central,2026-11-19,1,1
SKU00676,FSSAI746701,Central,2025-04-12,0,1
SKU01752,FSSAI631868,State,2027-01-13,1,1
SKU01743,FSSAI721990,State,2027-06-12,1,1
SKU01701,FSSAI692974,Central,2026-08-29,1,1
SKU00641,FSSAI270401,State,2026-05-19,1,1
SKU00588,FSSAI460110,None,2025-07-07,1,1
SKU01127,FSSAI441993,State,2025-12-10,1,1
SKU00541,FSSAI334373,None,2026-07-04,1,1
SKU00971,FSSAI731603,State,2025-03-31,1,1
SKU01057,FSSAI386081,None,2025-12-17,1,1
SKU01707,FSSAI803764,State,2026-06-27,1,1
SKU01870,FSSAI556293,State,2026-10-17,0,1
SKU00018,FSSAI758793,Central,2026-12-31,0,1
SKU00728,FSSAI767378,None,2027-05-19,1,1
SKU00989,FSSAI109471,Central,2025-07-28,1,1
SKU01541,FSSAI901108,State,2025-10-31,1,1
SKU00178,FSSAI565921,State,2026-04-01,1,1
SKU01799,FSSAI874031,State,2027-06-09,0,1
SKU01826,FSSAI412330,Central,2025-06-20,1,1
SKU01180,FSSAI243134,State,2027-04-10,1,1
SKU01517,FSSAI707473,None,2025-07-14,1,1
SKU00337,FSSAI737355,Central,2025-10-12,1,1
SKU00689,FSSAI123566,State,2027-05-03,1,1
SKU00654,FSSAI566670,State,2025-06-05,1,1
SKU00090,FSSAI381141,State,2026-07-23,1,1
SKU00114,FSSAI757878,Central,2027-05-15,1,1
SKU01429,FSSAI598261,Central,2025-11-21,1,1
SKU00049,FSSAI249652,State,2026-06-12,1,1
SKU01448,FSSAI901984,State,2025-04-16,1,1
SKU01512,FSSAI747330,State,2025-02-10,1,1
SKU00650,FSSAI532019,None,2025-12-13,1,1
SKU01622,FSSAI543601,None,2026-11-19,1,1
SKU00975,FSSAI718938,Central,2027-04-22,1,1
SKU00114,FSSAI419304,State,2025-07-26,1,1
SKU00387,FSSAI165985,Central,2025-11-08,1,1
SKU00559,FSSAI901604,State,2025-02-20,1,1
SKU01947,FSSAI559142,State,2025-05-07,1,0
SKU00116,FSSAI701981,State,2026-08-14,1,1
SKU01904,FSSAI748791,State,2025-05-05,1,1
SKU00695,FSSAI515610,None,2026-04-03,1,1
SKU01345,FSSAI607962,None,2026-04-12,0,1
SKU00293,FSSAI122642,State,2026-06-24,1,1
SKU01115,FSSAI689756,Central,2025-04-15,1,1
SKU00485,FSSAI104034,State,2026-08-16,1,1
SKU01294,FSSAI680120,State,2025-09-23,1,1
SKU01121,FSSAI919825,None,2026-09-13,1,1
SKU01705,FSSAI724205,None,2025-01-11,1,1
SKU00700,FSSAI579497,State,2025-12-31,1,1
SKU01612,FSSAI421906,Central,2025-06-14,1,1
SKU01669,FSSAI819324,State,2026-03-21,1,1
SKU00118,FSSAI812733,Central,2026-04-30,1,1
SKU00791,FSSAI622222,None,2026-12-08,1,1
SKU01808,FSSAI367292,None,2025-11-22,0,1
SKU01272,FSSAI686311,Central,2025-01-13,1,1
SKU00675,FSSAI469039,State,2025-06-16,1,0
SKU00518,FSSAI818886,None,2025-03-10,0,1
SKU01816,FSSAI747817,None,2026-07-16,1,0
SKU00893,FSSAI991927,Central,2026-04-14,1,0
SKU01015,FSSAI698714,None,2026-02-22,1,1
SKU00265,FSSAI398033,State,2026-10-20,1,1
SKU00136,FSSAI525331,State,2025-02-11,1,1
SKU01198,FSSAI389196,State,2025-02-28,0,1
SKU01092,FSSAI178924,None,2025-07-03,1,1
SKU01761,FSSAI633786,State,2026-02-08,1,1
SKU01115,FSSAI302942,Central,2026-11-21,1,1
SKU00854,FSSAI941721,None,2026-03-02,1,1
SKU01087,FSSAI737809,State,2025-05-05,1,1
SKU01144,FSSAI940939,State,2025-11-15,1,1
SKU00322,FSSAI628553,None,2026-03-07,1,1
SKU01733,FSSAI988122,State,2026-12-15,1,1
SKU01134,FSSAI416951,State,2026-08-27,1,1
SKU01410,FSSAI218011,Central,2026-09-15,1,1
SKU00747,FSSAI530915,State,2026-10-27,1,1
SKU01849,FSSAI584487,State,2027-03-11,1,1
SKU01317,FSSAI354313,State,2027-04-12,1,1
SKU01575,FSSAI403012,Central,2026-08-03,1,1
SKU01927,FSSAI979645,None,2025-04-25,1,1
SKU00457,FSSAI580599,Central,2027-04-24,1,1
SKU01731,FSSAI644197,State,2027-06-01,1,1
SKU00211,FSSAI760512,None,2026-10-14,1,1
SKU00828,FSSAI460041,State,2027-02-13,1,1
SKU00060,FSSAI316277,State,2025-08-21,1,1
SKU01006,FSSAI518033,State,2026-05-09,1,1
SKU01636,FSSAI868686,State,2025-09-04,1,1
SKU01965,FSSAI709773,State,2025-03-16,1,1
SKU01076,FSSAI662492,State,2026-03-03,1,1
SKU00070,FSSAI947697,State,2025-09-07,1,1
SKU00997,FSSAI659119,State,2026-04-27,1,0
SKU01057,FSSAI212006,State,2025-12-13,1,1
SKU01464,FSSAI499319,None,2025-07-18,1,1
SKU01103,FSSAI407198,State,2027-04-26,1,1
SKU01249,FSSAI914120,None,2026-09-02,1,1
SKU01027,FSSAI712661,State,2025-11-24,0,1
SKU00740,FSSAI659629,State,2026-08-09,1,1
SKU00031,FSSAI129312,None,2025-02-23,1,1
SKU00483,FSSAI378104,State,2025-02-01,1,1
SKU00817,FSSAI404103,None,2027-03-11,1,1
SKU00468,FSSAI431388,State,2026-11-10,1,1
SKU00793,FSSAI110356,Central,2026-09-05,1,0
SKU01865,FSSAI930823,Central,2025-09-07,1,1
SKU00188,FSSAI734312,None,2025-09-09,1,0
SKU01115,FSSAI274761,State,2027-06-15,0,1
SKU01926,FSSAI795081,State,2026-05-31,1,1
SKU01954,FSSAI771098,State,2026-12-27,1,1
SKU01079,FSSAI639775,None,2025-11-21,1,1
SKU01488,FSSAI945365,State,2025-04-02,1,1
SKU01360,FSSAI513661,State,2026-04-17,1,1
SKU00396,FSSAI110394,State,2025-06-19,0,1
SKU00364,FSSAI442535,State,2026-12-29,1,1
SKU01172,FSSAI279203,None,2027-05-21,0,1
SKU01062,FSSAI224012,None,2026-09-28,1,1
SKU00585,FSSAI976288,State,2027-05-11,1,1
SKU00985,FSSAI132924,None,2025-08-12,1,1
SKU00770,FSSAI271994,Central,2026-10-05,1,1
SKU01169,FSSAI517827,State,2025-12-18,0,1
SKU00984,FSSAI246319,State,2026-09-25,1,1
SKU01551,FSSAI580961,State,2026-05-27,1,1
SKU00518,FSSAI140983,State,2027-06-12,1,1
SKU00859,FSSAI515978,State,2025-11-28,1,1
SKU01523,FSSAI519655,State,2025-01-30,1,1
SKU01225,FSSAI403959,Central,2025-07-10,1,1
SKU01467,FSSAI679733,State,2026-05-30,1,1
SKU01708,FSSAI731063,Central,2025-10-16,1,1
SKU01925,FSSAI164179,State,2026-09-01,1,1
SKU00430,FSSAI118956,None,2026-01-05,1,1
SKU00406,FSSAI980664,State,2027-06-11,1,1
SKU00599,FSSAI670807,State,2025-02-12,0,1
SKU01895,FSSAI287843,State,2026-11-17,1,1
SKU00002,FSSAI383702,State,2026-05-08,1,1
SKU01188,FSSAI660612,State,2026-04-04,1,1
SKU01364,FSSAI974055,State,2025-08-02,1,1
SKU01689,FSSAI364936,State,2025-11-03,1,1
SKU01168,FSSAI475987,None,2026-06-23,1,1
SKU00222,FSSAI645347,Central,2027-01-07,1,1
SKU00064,FSSAI209444,State,2026-11-07,1,1
SKU00390,FSSAI907584,State,2027-01-29,1,1
SKU01709,FSSAI332196,State,2026-09-24,1,1
SKU00175,FSSAI100571,None,2025-12-05,0,1
SKU01704,FSSAI683303,Central,2025-12-11,1,1
SKU01384,FSSAI665836,State,2025-02-11,1,1
SKU00300,FSSAI700974,State,2025-06-28,1,1
SKU01157,FSSAI682530,State,2025-08-25,1,1
SKU00986,FSSAI299181,State,2025-04-16,1,1
SKU00497,FSSAI798063,None,2025-07-18,0,1
SKU00774,FSSAI943577,State,2027-05-30,1,1
SKU01359,FSSAI143147,State,2026-03-06,1,1
SKU00084,FSSAI445904,State,2026-03-08,1,1
SKU00188,FSSAI605903,None,2025-06-26,1,1
SKU01170,FSSAI419942,State,2026-03-17,1,1
SKU01028,FSSAI799145,State,2025-08-12,0,1
SKU01224,FSSAI954383,None,2026-04-04,1,1
SKU01047,FSSAI667129,State,2026-03-03,1,1
SKU01388,FSSAI677833,State,2026-06-01,1,1
SKU01599,FSSAI348471,Central,2027-01-30,1,1
SKU00450,FSSAI748915,Central,2025-12-03,1,0
SKU00465,FSSAI723907,State,2026-06-30,1,1
SKU00921,FSSAI872688,State,2025-03-27,1,1
SKU00365,FSSAI596738,State,2025-03-12,1,1
SKU00655,FSSAI374634,Central,2027-04-13,1,0
SKU01346,FSSAI973891,None,2026-11-19,1,1
SKU00215,FSSAI996123,State,2026-02-20,1,1
SKU00743,FSSAI879629,State,2026-02-23,1,1
SKU00417,FSSAI211134,State,2026-03-10,1,1
