sku,batch,current_stock,avg_daily_sales,days_of_supply,reorder_lead_days,last_restock_date
SKU00534,BATCH7227,3599,37.47,96.05,7,2025-10-23
SKU00405,BATCH5554,4086,33.36,122.48,10,2025-07-22
SKU00564,BATCH8428,4236,39.37,107.59,10,2025-08-09
SKU00460,BATCH6977,2650,22.62,117.15,30,2025-03-01
SKU01067,BATCH3664,493,20.04,24.6,14,2025-01-10
SKU01474,BATCH7065,3876,40.83,94.93,10,2025-02-20
SKU00178,BATCH6820,2131,19.29,110.47,7,2025-10-17
SKU00399,BATCH4432,1646,12.33,133.5,14,2025-06-05
SKU01874,BATCH5374,1011,47.06,21.48,10,2025-07-14
SKU00527,BATCH2169,4470,44.75,99.89,7,2025-05-16
SKU01383,BATCH3803,4703,34.57,136.04,7,2025-01-26
SKU00010,BATCH9751,3215,42.07,76.42,7,2025-01-12
SKU01242,BATCH5010,4776,7.39,646.28,10,2025-04-17
SKU00311,BATCH3677,4176,48.74,85.68,7,2025-08-04
SKU00677,BATCH8573,2924,4.22,692.89,30,2025-04-14
SKU01275,BATCH7216,1684,15.78,106.72,14,2025-03-11
SKU00228,BATCH5422,3825,27.95,136.85,30,2025-01-04
SKU01608,BATCH4598,4255,14.29,297.76,30,2025-07-26
SKU01945,BATCH6313,2151,1.18,1822.88,21,2025-10-23
SKU00786,BATCH1916,1554,25.12,61.86,30,2025-03-15
SKU00303,BATCH4752,3053,23.8,128.28,10,2025-06-09
SKU01627,BATCH1525,1638,2.87,570.73,14,2025-05-11
SKU00428,BATCH6168,1604,30.1,53.29,7,2025-10-19
SKU01933,BATCH7572,1976,35.89,55.06,21,2025-07-14
SKU00073,BATCH5386,1759,3.34,526.65,10,2025-06-24
SKU00879,BATCH2084,3187,17.53,181.8,14,2025-05-16
SKU00535,BATCH4456,4508,35.62,126.56,10,2025-08-17
SKU01847,BATCH6155,4289,4.5,953.11,10,2025-10-25
SKU01705,BATCH4483,3477,31.44,110.59,21,2025-03-26
SKU01212,BATCH9179,4075,20.39,199.85,14,2025-10-23
SKU01420,BATCH7482,222,36.6,6.07,10,2025-07-16
SKU01017,BATCH8517,135,3.88,34.79,10,2025-06-03
SKU00260,BATCH3340,2110,23.6,89.41,7,2025-01-11
SKU00350,BATCH5339,4183,27.67,151.17,10,2025-07-31
SKU01528,BATCH3287,3187,39.21,81.28,30,2025-07-10
SKU01671,BATCH5040,4864,8.42,577.67,14,2025-04-11
SKU00308,BATCH9830,3176,29.43,107.92,7,2025-02-02
SKU01736,BATCH5304,3892,8.25,471.76,21,2025-01-16
SKU01072,BATCH8019,3785,40.6,93.23,30,2025-08-27
SKU00529,BATCH7543,4312,39.7,108.61,30,2025-10-02
SKU01770,BATCH6930,4562,31.28,145.84,14,2025-04-19
SKU01435,BATCH4593,3908,1.11,3520.72,7,2025-02-08
SKU01957,BATCH3266,2444,31.55,77.46,10,2025-04-14
SKU01631,BATCH9348,1737,34.28,50.67,14,2025-04-24
SKU00126,BATCH9085,4802,35.23,136.3,7,2025-01-15
SKU01383,BATCH2489,3036,2.19,1386.3,7,2025-10-02
SKU00424,BATCH1771,956,4.79,199.58,10,2025-01-29
SKU01565,BATCH2796,2588,23.33,110.93,10,2025-03-03
SKU01068,BATCH3504,2504,13.56,184.66,7,2025-10-11
SKU01199,BATCH3621,3588,36.93,97.16,21,2025-05-07
SKU00582,BATCH7916,2231,36.29,61.48,21,2025-01-29
SKU01558,BATCH2040,2646,20.55,128.76,10,2025-07-28
SKU01130,BATCH7304,4142,48.52,85.37,10,2025-01-05
SKU01579,BATCH7252,2970,49.09,60.5,10,2025-10-21
SKU00301,BATCH8668,969,39.53,24.51,14,2025-01-16
SKU00430,BATCH9669,1023,34.49,29.66,10,2025-09-26
SKU01365,BATCH5119,3708,12.1,306.45,14,2025-07-27
SKU00540,BATCH1188,3327,43.04,77.3,14,2025-04-02
SKU00930,BATCH2876,1188,33.14,35.85,14,2025-04-22
SKU00197,BATCH9797,735,8.55,85.96,10,2025-03-21
SKU01769,BATCH5371,4883,45.89,106.41,7,2025-04-26
SKU01466,BATCH6573,3516,26.72,131.59,10,2025-05-19
SKU00978,BATCH2827,4043,10.93,369.9,10,2025-08-05
SKU00334,BATCH5808,1419,41.57,34.14,10,2025-09-09
SKU00382,BATCH8123,3007,18.71,160.72,10,2025-04-24
SKU00576,BATCH3591,934,2.32,402.59,10,2025-07-07
SKU00969,BATCH8433,1511,11.33,133.36,10,2025-09-04
SKU00281,BATCH1053,3964,21.06,188.22,21,2025-08-14
SKU01812,BATCH5315,771,17.03,45.27,10,2025-10-18
SKU01752,BATCH9201,3185,34.28,92.91,7,2025-06-19
SKU00615,BATCH3927,4987,34.63,144.01,21,2025-07-05
SKU01091,BATCH9317,2055,35.17,58.43,7,2025-08-28
SKU00748,BATCH2743,4154,29.24,142.07,21,2025-04-07
SKU00381,BATCH5889,4006,1.95,2054.36,30,2025-03-21
SKU01024,BATCH9317,2104,19.96,105.41,7,2025-08-18
SKU00517,BATCH4258,281,31.98,8.79,7,2025-08-16
SKU01775,BATCH3504,329,40.27,8.17,10,2025-01-06
SKU01886,BATCH7126,1731,16.19,106.92,14,2025-01-10
SKU01619,BATCH3646,635,29.44,21.57,10,2025-09-05
SKU01943,BATCH9837,3905,27.24,143.36,14,2025-06-10
SKU00299,BATCH9689,4357,33.8,128.91,10,2025-09-17
SKU01562,BATCH1009,24,11.28,2.13,21,2025-03-20
SKU01199,BATCH6310,2590,21.41,120.97,14,2025-05-16
SKU01374,BATCH9005,4315,15.76,273.79,7,2025-06-21
SKU01332,BATCH1319,1166,30.34,38.43,7,2025-02-22
SKU01824,BATCH2832,4999,47.85,104.47,21,2025-05-19
SKU01559,BATCH6947,4336,29.42,147.38,14,2025-01-06
SKU00497,BATCH6038,595,43.17,13.78,10,2025-08-29
SKU01846,BATCH4923,1923,36.39,52.84,10,2025-03-11
SKU00266,BATCH1949,2967,13.36,222.08,14,2025-07-06
SKU01216,BATCH4946,4875,41.04,118.79,21,2025-08-12
SKU00101,BATCH2290,1722,37.17,46.33,14,2025-02-13
SKU01642,BATCH2403,530,49.32,10.75,7,2025-07-10
SKU01866,BATCH8962,3895,46.17,84.36,14,2025-06-08
SKU01140,BATCH2133,1357,41.17,32.96,10,2025-01-21
SKU00989,BATCH9727,3830,9.69,395.25,7,2025-10-01
SKU01060,BATCH3060,840,32.63,25.74,10,2025-01-12
SKU00484,BATCH3103,1136,15.21,74.69,10,2025-02-20
SKU00669,BATCH8787,703,24.33,28.89,10,2025-02-20
SKU01672,BATCH3705,4287,1.91,2244.5,7,2025-07-02
SKU01496,BATCH5342,548,22.07,24.83,10,2025-03-07
SKU01837,BATCH9645,1760,17.13,102.74,30,2025-06-12
SKU00937,BATCH7932,4213,24.9,169.2,10,2025-01-15
SKU00080,BATCH4470,892,0.9,991.11,21,2025-01-09
SKU01937,BATCH9835,4250,16.2,262.35,7,2025-10-23
SKU01596,BATCH4295,2889,45.87,62.98,21,2025-01-23
SKU00447,BATCH6107,4952,46.44,106.63,10,2025-07-26
SKU00880,BATCH7537,914,32.77,27.89,30,2025-02-15
SKU00700,BATCH7118,4879,26.05,187.29,7,2025-03-21
SKU01481,BATCH8177,1490,3.49,426.93,10,2025-02-03
SKU01710,BATCH9479,2060,25.37,81.2,10,2025-04-09
SKU01014,BATCH8397,3521,31.43,112.03,14,2025-07-23
SKU01542,BATCH2982,1989,47.69,41.71,30,2025-10-08
SKU01665,BATCH5061,3581,31.79,112.65,7,2025-03-04
SKU01867,BATCH4681,4906,30.32,161.81,14,2025-04-19
SKU00208,BATCH2049,2438,25.14,96.98,14,2025-09-15
SKU01096,BATCH6539,3024,46.26,65.37,7,2025-09-04
SKU01692,BATCH1344,3826,17.54,218.13,21,2025-03-16
SKU01591,BATCH4770,1242,48.23,25.75,21,2025-09-12
SKU01933,BATCH4608,4855,6.96,697.56,30,2025-07-14
SKU01163,BATCH1117,1721,10.45,164.69,21,2025-06-03
SKU00867,BATCH2163,689,44.39,15.52,10,2025-01-18
SKU01681,BATCH1964,2113,2.18,969.27,10,2025-08-15
SKU00585,BATCH4750,2395,0.25,9580.0,10,2025-07-29
SKU01166,BATCH2104,4408,18.2,242.2,30,2025-08-25
SKU01298,BATCH1514,1036,38.15,27.16,7,2025-01-29
SKU01758,BATCH6413,1311,19.43,67.47,7,2025-05-08
SKU00918,BATCH2160,3565,41.87,85.14,14,2025-08-17
SKU01395,BATCH9423,2084,42.08,49.52,10,2025-05-11
SKU00994,BATCH4899,380,45.13,8.42,10,2025-09-17
SKU01398,BATCH5562,2573,10.31,249.56,14,2025-09-11
SKU00731,BATCH8953,582,41.38,14.06,30,2025-08-25
SKU01223,BATCH4510,1730,37.97,45.56,14,2025-07-24
SKU01623,BATCH9834,2317,25.19,91.98,7,2025-05-24
SKU01880,BATCH3167,1875,43.1,43.5,7,2025-09-06
SKU00661,BATCH8744,763,23.45,32.54,10,2025-01-05
SKU01428,BATCH4981,4667,8.88,525.56,7,2025-02-08
SKU01642,BATCH8749,658,14.49,45.41,10,2025-04-27
SKU00924,BATCH7669,1414,16.17,87.45,10,2025-03-06
SKU01292,BATCH4119,4282,11.84,361.66,30,2025-10-22
SKU00872,BATCH2545,252,16.82,14.98,14,2025-01-27
SKU00545,BATCH2588,2693,28.33,95.06,21,2025-03-31
SKU00676,BATCH8062,2551,25.01,102.0,10,2025-07-04
SKU00257,BATCH6804,3799,13.08,290.44,10,2025-03-11
SKU01877,BATCH7939,2486,3.28,757.93,14,2025-04-28
SKU00252,BATCH7735,2213,37.15,59.57,7,2025-01-03
SKU00822,BATCH8651,2377,22.33,106.45,10,2025-05-22
SKU00127,BATCH1887,1795,7.69,233.42,21,2025-01-04
SKU01447,BATCH2612,3955,48.65,81.29,21,2025-08-17
SKU01820,BATCH1993,4321,13.35,323.67,21,2025-09-18
SKU01616,BATCH7596,2876,35.0,82.17,10,2025-06-06
SKU01541,BATCH6559,142,4.44,31.98,7,2025-07-08
SKU01136,BATCH2790,1293,45.82,28.22,10,2025-03-24
SKU01962,BATCH5073,4101,12.32,332.87,10,2025-07-12
SKU00996,BATCH4139,2644,0.6,4406.67,10,2025-06-12
SKU00402,BATCH4116,1086,4.7,231.06,10,2025-07-29
SKU00929,BATCH9786,2076,36.86,56.32,7,2025-02-10
SKU01981,BATCH8350,1818,43.7,41.6,10,2025-01-26
SKU01872,BATCH3296,2419,3.79,638.26,7,2025-06-08
SKU00123,BATCH7912,4306,46.48,92.64,10,2025-07-21
SKU01099,BATCH4006,1604,9.1,176.26,10,2025-03-20
SKU01019,BATCH5563,3143,1.43,2197.9,7,2025-04-18
SKU01567,BATCH8579,4977,15.44,322.34,10,2025-03-26
SKU00075,BATCH5092,280,17.51,15.99,10,2025-03-29
SKU01782,BATCH2235,451,45.69,9.87,14,2025-03-18
SKU00001,BATCH8260,1639,12.17,134.68,14,2025-01-16
SKU00277,BATCH2604,1882,36.41,51.69,10,2025-06-09
SKU01311,BATCH1828,4893,26.04,187.9,10,2025-05-10
SKU00310,BATCH9856,2610,2.7,966.67,14,2025-01-03
SKU00634,BATCH1241,2282,13.3,171.58,10,2025-01-02
SKU01759,BATCH2528,4343,10.96,396.26,10,2025-10-05
SKU01518,BATCH4872,3009,0.28,10746.43,10,2025-10-03
SKU00126,BATCH3724,349,26.19,13.33,21,2025-05-06
SKU00786,BATCH7658,4061,21.62,187.84,7,2025-09-14
SKU01580,BATCH8956,1379,10.9,126.51,10,2025-05-12
SKU00043,BATCH8886,801,23.03,34.78,21,2025-07-16
SKU01038,BATCH4502,3691,0.23,16047.83,21,2025-01-27
SKU00779,BATCH7570,3283,20.61,159.29,21,2025-05-30
SKU00058,BATCH1960,3569,3.93,908.14,14,2025-09-22
SKU01056,BATCH3697,137,8.06,17.0,10,2025-05-27
SKU01844,BATCH7209,708,18.51,38.25,14,2025-10-01
SKU00942,BATCH1035,800,12.63,63.34,30,2025-01-05
SKU00553,BATCH7396,1859,2.41,771.37,7,2025-01-06
SKU01303,BATCH5345,4506,38.14,118.14,10,2025-03-09
SKU01295,BATCH8454,467,9.95,46.93,30,2025-06-07
SKU00618,BATCH5673,3536,26.27,134.6,21,2025-02-20
SKU01067,BATCH7930,756,40.43,18.7,10,2025-08-28
SKU01852,BATCH8973,2766,22.48,123.04,10,2025-08-05
SKU01577,BATCH3536,2007,19.72,101.77,21,2025-05-28
SKU01956,BATCH4111,3907,39.78,98.22,14,2025-02-14
SKU00120,BATCH5861,703,33.16,21.2,14,2025-09-18
SKU01710,BATCH4566,3650,3.52,1036.93,21,2025-05-31
SKU01111,BATCH1958,3872,15.79,245.22,21,2025-03-22
SKU01016,BATCH9883,3609,28.4,127.08,10,2025-05-29
SKU00792,BATCH1998,700,5.04,138.89,10,2025-01-12
SKU01344,BATCH6138,1745,9.82,177.7,21,2025-07-13
SKU01930,BATCH1936,1440,12.86,111.98,14,2025-06-12
SKU01035,BATCH1821,4111,46.45,88.5,10,2025-08-25
SKU01748,BATCH8811,1891,45.94,41.16,14,2025-03-31
SKU00468,BATCH9238,3885,35.12,110.62,7,2025-09-29
SKU00333,BATCH9701,2939,6.1,481.8,14,2025-05-07
SKU01423,BATCH3579,1731,39.17,44.19,14,2025-03-26
SKU00047,BATCH1931,3057,22.2,137.7,7,2025-02-21
SKU01732,BATCH9320,924,26.9,34.35,14,2025-09-01
SKU01565,BATCH2312,3774,24.63,153.23,7,2025-09-01
SKU00165,BATCH4044,4556,45.88,99.3,10,2025-03-21
SKU01926,BATCH2122,4507,30.57,147.43,14,2025-01-13
SKU00154,BATCH2113,1556,24.11,64.54,10,2025-04-02
SKU01733,BATCH4853,4832,5.45,886.61,30,2025-05-19
SKU00760,BATCH7615,911,15.47,58.89,7,2025-10-05
SKU01098,BATCH2964,3793,38.28,99.09,10,2025-06-08
SKU00980,BATCH5033,3896,39.44,98.78,10,2025-08-07
SKU00525,BATCH1651,3149,38.27,82.28,7,2025-09-09
SKU01711,BATCH2343,3539,10.87,325.57,14,2025-10-09
SKU00877,BATCH7868,4954,8.15,607.85,10,2025-09-27
SKU00843,BATCH9565,4950,43.66,113.38,30,2025-04-26
SKU01490,BATCH6183,4868,12.94,376.2,14,2025-07-02
SKU01384,BATCH5272,4182,45.03,92.87,30,2025-03-11
SKU01738,BATCH4346,149,15.46,9.64,10,2025-10-02
SKU00399,BATCH6147,3494,46.65,74.9,14,2025-02-12
SKU00690,BATCH4910,1870,28.25,66.19,10,2025-10-22
SKU00549,BATCH5351,3642,27.45,132.68,10,2025-04-25
SKU01802,BATCH7484,2125,4.45,477.53,10,2025-07-16
SKU00124,BATCH3144,996,27.85,35.76,14,2025-03-21
SKU01835,BATCH5915,4518,18.14,249.06,14,2025-06-22
SKU01173,BATCH8491,3038,30.14,100.8,30,2025-10-20
SKU00309,BATCH6180,2698,16.87,159.93,21,2025-06-26
SKU00258,BATCH2188,779,41.16,18.93,7,2025-09-15
SKU00275,BATCH1152,339,46.49,7.29,14,2025-02-15
SKU00171,BATCH8508,4892,47.95,102.02,7,2025-02-25
SKU01527,BATCH2638,243,49.87,4.87,14,2025-01-23
SKU01112,BATCH2200,1416,37.58,37.68,7,2025-02-06
SKU00543,BATCH9808,1596,5.0,319.2,14,2025-06-18
SKU00508,BATCH4492,2897,29.56,98.0,21,2025-03-13
SKU01187,BATCH9288,4600,2.46,1869.92,21,2025-01-18
SKU00555,BATCH5345,2162,40.56,53.3,21,2025-02-16
SKU01872,BATCH3170,2989,20.31,147.17,7,2025-08-05
SKU00343,BATCH6718,4932,9.47,520.8,30,2025-02-21
SKU00379,BATCH2127,94,8.43,11.15,7,2025-08-26
SKU00445,BATCH5002,2372,3.38,701.78,14,2025-09-28
SKU01381,BATCH7054,2811,24.45,114.97,10,2025-04-12
SKU00160,BATCH5669,4203,14.53,289.26,10,2025-03-01
SKU01714,BATCH3584,3755,21.96,170.99,30,2025-09-15
SKU00029,BATCH8179,2940,13.69,214.76,14,2025-07-06
SKU01793,BATCH9900,1537,40.27,38.17,21,2025-08-08
SKU00716,BATCH5956,2239,34.46,64.97,10,2025-03-19
SKU00937,BATCH9666,1822,18.84,96.71,21,2025-04-22
SKU00297,BATCH1128,2696,11.84,227.7,21,2025-09-18
SKU00691,BATCH5905,1184,18.34,64.56,14,2025-06-23
SKU01811,BATCH2697,1801,15.12,119.11,21,2025-08-15
SKU01311,BATCH3200,4697,30.45,154.25,14,2025-06-25
SKU00284,BATCH5333,4450,0.88,5056.82,10,2025-09-04
SKU00060,BATCH2891,634,48.76,13.0,14,2025-06-09
SKU01671,BATCH2753,1370,15.44,88.73,10,2025-07-28
SKU00439,BATCH3546,2067,6.28,329.14,14,2025-03-13
SKU00277,BATCH5462,1338,43.02,31.1,7,2025-10-06
SKU01895,BATCH5616,1437,30.7,46.81,30,2025-07-02
SKU00383,BATCH4450,3362,25.14,133.73,10,2025-09-13
SKU00929,BATCH6617,3937,41.18,95.6,30,2025-04-20
SKU01527,BATCH4335,4991,30.76,162.26,14,2025-10-06
SKU00820,BATCH5325,3115,6.6,471.97,7,2025-04-14
SKU01844,BATCH9280,575,15.55,36.98,14,2025-03-05
SKU00357,BATCH9004,4892,48.84,100.16,10,2025-08-07
SKU01665,BATCH5114,2489,45.03,55.27,14,2025-06-08
SKU01005,BATCH1832,3648,14.29,255.28,10,2025-06-04
SKU00954,BATCH2512,1097,47.91,22.9,10,2025-05-23
SKU00128,BATCH7939,1159,38.83,29.85,14,2025-04-23
SKU01622,BATCH5533,2219,4.78,464.23,14,2025-03-19
SKU01050,BATCH1722,1207,29.68,40.67,7,2025-05-13
SKU01658,BATCH1058,1228,0.23,5339.13,7,2025-01-03
SKU01706,BATCH6464,4763,43.0,110.77,30,2025-04-05
SKU01623,BATCH3143,895,2.43,368.31,14,2025-04-19
SKU01859,BATCH5291,593,40.62,14.6,10,2025-07-10
SKU01129,BATCH3647,472,24.48,19.28,10,2025-06-15
SKU00934,BATCH8239,4445,34.37,129.33,10,2025-05-07
SKU00718,BATCH8007,1957,25.71,76.12,30,2025-06-29
SKU00334,BATCH1158,3648,27.27,133.77,30,2025-01-06
SKU00762,BATCH2832,1290,12.69,101.65,14,2025-04-03
SKU00459,BATCH2232,2947,47.18,62.46,30,2025-08-16
SKU00942,BATCH3442,3819,4.24,900.71,30,2025-10-04
SKU01058,BATCH9938,620,37.96,16.33,10,2025-03-17
SKU00976,BATCH1590,4473,26.71,167.47,21,2025-02-05
SKU01387,BATCH7049,1896,47.6,39.83,10,2025-03-12
SKU00042,BATCH3426,65,2.68,24.25,21,2025-09-16
SKU01508,BATCH8041,939,15.16,61.94,14,2025-05-19
SKU00627,BATCH3088,1266,1.99,636.18,7,2025-07-27
SKU00191,BATCH1685,2091,26.84,77.91,30,2025-05-13
SKU01809,BATCH6050,502,47.07,10.66,10,2025-09-22
SKU00075,BATCH6974,2942,30.68,95.89,7,2025-09-07
SKU01415,BATCH1653,1870,31.47,59.42,10,2025-04-05
SKU01245,BATCH6862,2975,22.81,130.43,10,2025-03-27
SKU01865,BATCH4441,2993,40.56,73.79,7,2025-02-04
SKU00353,BATCH5088,3061,9.16,334.17,21,2025-10-08
SKU00330,BATCH2684,3167,29.37,107.83,10,2025-01-05
SKU00622,BATCH6794,410,27.76,14.77,14,2025-05-05
SKU00590,BATCH7658,3880,32.7,118.65,30,2025-06-09
SKU00711,BATCH3532,4923,9.2,535.11,30,2025-02-24
SKU00424,BATCH4878,2678,7.82,342.46,7,2025-01-06
SKU00559,BATCH3662,3185,26.73,119.15,7,2025-06-21
SKU00520,BATCH3900,3060,47.79,64.03,14,2025-08-11
SKU00400,BATCH7755,1891,7.34,257.63,21,2025-01-09
SKU01099,BATCH1406,2952,16.13,183.01,7,2025-10-20
SKU01086,BATCH3938,418,39.74,10.52,14,2025-10-04
SKU00950,BATCH6442,2006,44.67,44.91,30,2025-04-27
SKU01141,BATCH7745,1039,40.03,25.96,14,2025-07-30
SKU01796,BATCH5065,193,43.97,4.39,14,2025-08-30
SKU01232,BATCH5371,2354,11.92,197.48,21,2025-07-24
SKU00450,BATCH3608,4500,0.17,26470.59,14,2025-05-12
SKU01743,BATCH2771,54,12.8,4.22,14,2025-03-22
SKU01261,BATCH7267,219,28.14,7.78,21,2025-02-20
SKU01260,BATCH1634,2582,6.66,387.69,14,2025-04-24
SKU01088,BATCH8711,2346,47.28,49.62,14,2025-03-11
SKU01331,BATCH4644,733,16.66,44.0,14,2025-07-26
SKU00664,BATCH4269,709,28.62,24.77,14,2025-01-25
SKU00347,BATCH8541,2275,7.53,302.12,14,2025-07-22
SKU00050,BATCH6728,64,44.11,1.45,10,2025-01-12
SKU01483,BATCH6000,2493,43.83,56.88,7,2025-01-15
SKU00049,BATCH4728,2486,38.9,63.91,21,2025-07-10
SKU01590,BATCH4652,3089,21.13,146.19,14,2025-03-28
SKU00615,BATCH1387,4020,9.99,402.4,10,2025-04-25
SKU01434,BATCH4164,4363,1.23,3547.15,21,2025-02-08
SKU00676,BATCH7528,2863,3.8,753.42,10,2025-03-16
SKU01972,BATCH6378,682,39.67,17.19,10,2025-01-20
SKU01804,BATCH5564,4515,33.54,134.62,14,2025-03-19
SKU01500,BATCH2137,1468,8.22,178.59,14,2025-05-03
SKU01620,BATCH5573,3425,43.13,79.41,7,2025-09-07
SKU00081,BATCH6753,203,35.18,5.77,10,2025-03-14
SKU01132,BATCH9346,4604,40.17,114.61,10,2025-06-05
SKU00181,BATCH7548,1409,27.89,50.52,14,2025-08-06
SKU00155,BATCH9785,1110,45.36,24.47,30,2025-06-22
SKU00380,BATCH6425,3585,42.42,84.51,14,2025-04-18
SKU01148,BATCH1452,3763,32.07,117.34,10,2025-03-18
SKU00537,BATCH2889,3737,10.46,357.27,21,2025-05-14
SKU00844,BATCH5279,4279,3.39,1262.24,21,2025-05-28
SKU00389,BATCH3925,4866,23.54,206.71,14,2025-02-15
SKU00332,BATCH5349,4403,7.16,614.94,10,2025-01-20
SKU01578,BATCH1626,1981,5.06,391.5,10,2025-05-25
SKU01662,BATCH2776,3210,7.68,417.97,21,2025-04-07
SKU01572,BATCH8119,4879,20.14,242.25,21,2025-06-27
SKU01101,BATCH6663,2077,7.23,287.28,10,2025-01-15
SKU01783,BATCH6139,3252,49.49,65.71,7,2025-01-01
SKU01338,BATCH8149,3583,27.82,128.79,21,2025-01-24
SKU00962,BATCH9379,4180,15.17,275.54,14,2025-07-19
SKU00728,BATCH2894,612,42.93,14.26,14,2025-07-07
SKU01536,BATCH7311,1774,42.6,41.64,21,2025-07-26
SKU00607,BATCH4114,425,3.22,131.99,14,2025-07-28
SKU00254,BATCH5173,3140,25.1,125.1,14,2025-09-06
SKU00796,BATCH1727,3178,25.27,125.76,30,2025-10-11
SKU01170,BATCH8144,914,44.28,20.64,7,2025-08-13
SKU01344,BATCH1027,4749,35.72,132.95,30,2025-10-24
SKU01049,BATCH9518,2057,17.21,119.52,7,2025-05-11
SKU01780,BATCH9821,4992,21.41,233.16,30,2025-10-06
SKU00565,BATCH4228,2500,4.42,565.61,21,2025-06-10
SKU01283,BATCH6967,2278,36.26,62.82,21,2025-06-12
SKU01910,BATCH8066,3683,45.71,80.57,10,2025-04-26
SKU01473,BATCH2146,31,45.75,0.68,21,2025-08-08
SKU00820,BATCH6409,2335,44.11,52.94,14,2025-06-17
SKU01781,BATCH6143,4514,25.24,178.84,10,2025-07-10
SKU01961,BATCH3041,1019,5.85,174.19,7,2025-01-11
SKU01015,BATCH5920,1770,29.59,59.82,7,2025-02-15
SKU01457,BATCH9308,3642,12.35,294.9,7,2025-06-26
SKU01369,BATCH6067,4335,29.17,148.61,10,2025-08-21
SKU01166,BATCH7691,1780,25.79,69.02,10,2025-08-10
SKU01381,BATCH6344,454,27.75,16.36,14,2025-01-03
SKU00894,BATCH7592,712,39.46,18.04,10,2025-02-27
SKU00793,BATCH5844,4835,11.87,407.33,7,2025-05-19
SKU01495,BATCH3085,3242,39.26,82.58,30,2025-09-15
SKU01261,BATCH4143,2928,43.15,67.86,10,2025-02-16
SKU01856,BATCH7888,4544,11.28,402.84,30,2025-05-30
